Unnamed: 0,id,account_name,facebook_id,twitter_id,instagram_id,youtube_id,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
188,a-63b0a22e509c11eb9aea8c8590014502,VIPS Station,1105010000000000,0,0,UC2cM3yhGDnNsb67Tghy4vjw,Food,1028875,0,0,642856,140022.0,0.0,0.0,970000.0,376,0,0,138,1671731,1110022.0,514,Mega
189,a-63b12c94509c11eb9aea8c8590014502,Latdawan Channel,105892000000000,0,0,UCh7bLcJyHGnDNumUS4FwDmQ,Food,65,0,0,4336,156.0,0.0,0.0,9360.0,57,0,0,70,4401,9516.0,127,Nano
190,a-63b09360509c11eb9aea8c8590014502,SAN CE,1025840000000000,0,0,UCuRLkzeOlY6IcUy3PVLZG6w,Food,0,0,0,1649044,0.0,0.0,0.0,544000.0,0,0,0,186,1649044,544000.0,186,Macro
191,a-63b14d6e509c11eb9aea8c8590014502,Pam Studio,0,0,207828941,UClt6Y9q9etzD_cl8HsQ1SdA,Food,0,0,40,0,0.0,0.0,480.0,0.0,0,0,1,0,40,480.0,1,End-user
192,a-63b2da08509c11eb9aea8c8590014502,Eat Like 852 - ตะลุยกิน เที่ยวฮ่องกง โดยคนไทยในฮ่องกง,276253000000000,0,1313098971,0,Food,932059,0,19447,0,194296.0,0.0,26410.0,0.0,2759,0,57,0,951506,220706.0,2816,Macro
193,a-63b37a26509c11eb9aea8c8590014502,Ms Happy Diet - The Healthy Foodie,443082000000000,0,338403398,0,Food,11671,0,67403,0,23556.0,0.0,49306.0,0.0,763,0,394,0,79074,72862.0,1157,Micro
194,a-63b07c9a509c11eb9aea8c8590014502,FoodTravelTVChannel,0,0,0,UCZiboBUA0U1tn31MyHoMYLQ,Food,0,0,0,17508,0.0,0.0,0.0,2410000.0,0,0,0,49,17508,2410000.0,49,Mega
195,a-63b3573a509c11eb9aea8c8590014502,Kinjubkinjib - กินจุ๊บกินจิ๊บ,415195000000000,3284925192,944993390,0,Food,23952,98026,781899,0,17530.0,71658.0,121879.0,0.0,2232,378,549,0,903877,211067.0,3159,Macro
196,a-63b407b6509c11eb9aea8c8590014502,ถนัดชิม,1905870000000000,8.84096e+,5712989999,0,Food,2168805,0,255664,0,510292.0,0.0,74395.0,0.0,10965,0,385,0,2424469,584687.0,11350,Macro
197,a-63b3d250509c11eb9aea8c8590014502,กินแก้มตุ่ย ตะลุยเที่ยว,1745430000000000,7.75867e+,24058255,UCnyYZDZo3uSSnKmytuZp0lA,Food,55591,0,874,3623,540942.0,0.0,96567.0,3740.0,1635,0,69,48,60088,641249.0,1752,Macro
198,a-63afce6c509c11eb9aea8c8590014502,กินข้าวกัน,1498060000000000,0,2372487015,UC1ZcJ4k9yDz_b1KnhlMBe2Q,Food,5335381,0,253500,29,3026804.0,0.0,255882.0,11400.0,821,0,174,4,5588910,3294086.0,999,Mega
199,a-63b3055a509c11eb9aea8c8590014502,Foodoclock Eat Around Theclock,1499420000000000,1.01526e+,1283027662,0,Food,587,0,210453,0,98950.0,0.0,484221.0,0.0,138,0,232,0,211040,583171.0,370,Macro
200,a-63caa584509c11eb9aea8c8590014502,ตัวคนเดียวก็เที่ยวได้,1225060000000000,0,0,0,Travel,64504,0,0,0,130002.0,0.0,0.0,0.0,488,0,0,0,64504,130002.0,488,Macro
201,a-63c832cc509c11eb9aea8c8590014502,HappyNancy,1637490000000000,0,5713574,UCry8mxYV1614cX2Eszfq2Tw,Travel,863675,0,812023,309,217340.0,0.0,63289.0,2870.0,2457,0,478,10,1676007,283499.0,2945,Macro
202,a-63c956b6509c11eb9aea8c8590014502,widsawaphatiew,528546000000000,9.51216e+,5662470977,UCsw9Q84nu89AJ6GNvZfYcVA,Travel,0,0,528001,1916,0.0,0.0,42562.0,1910.0,0,0,232,37,529917,44472.0,269,Micro
203,a-63ca486e509c11eb9aea8c8590014502,เที่ยวเอง,191405000000000,0,2809195071,UChjzugft33b4uM_BKZOvfsQ,Travel,507772,0,35161,2,392115.0,0.0,15613.0,128.0,2507,0,182,2,542935,407856.0,2691,Macro
204,a-63c8f3b0509c11eb9aea8c8590014502,TripTH ทริปไทยแลนด์,934474000000000,0,2946685006,UCiXAlWe1AAXIs_tFtkw0KHA,Travel,26749565,0,203622,4388,3563270.0,0.0,79177.0,4190.0,16240,0,371,329,26957575,3646637.0,16940,Mega
205,a-63c7d796509c11eb9aea8c8590014502,Bestie Wanderer - คู่ซี้ตะลอนโลก,169598000000000,0,0,UC7ROTx4OQHsbLAz5BL2Wkug,Travel,723488,0,0,8768,168733.0,0.0,0.0,18000.0,4655,0,0,84,732256,186733.0,4739,Macro
